#Total 1566 genes are submitted
#470 of them are predicted as essential genes
Class(essential gene:1,others:0)	Essentiality Score	Protein
0	0.0154		gi|2313145|gb|AAD071
0	0.0		gi|2313146|gb|AAD071
1	0.5058		gi|2313147|gb|AAD071
0	0.0154		gi|2313148|gb|AAD071
0	0.0154		gi|2313149|gb|AAD071
0	0.0		gi|2313150|gb|AAD071
1	0.5058		gi|2313151|gb|AAD071
0	0.0		gi|2313138|gb|AAD071
0	0.0		gi|2313139|gb|AAD071
0	0.0154		gi|2313140|gb|AAD071
0	0.0154		gi|2313141|gb|AAD071
0	0.0771		gi|2313142|gb|AAD071
0	0.0		gi|2313143|gb|AAD071
0	0.0308		gi|2313153|gb|AAD071
0	0.0309		gi|2313154|gb|AAD071
1	0.2622		gi|2313155|gb|AAD071
1	0.3859		gi|2313156|gb|AAD071
1	0.7995		gi|2313157|gb|AAD071
1	0.4476		gi|2313158|gb|AAD071
0	0.0		gi|2313159|gb|AAD071
0	0.0		gi|2313160|gb|AAD071
0	0.0155		gi|2313161|gb|AAD071
0	0.0		gi|2313171|gb|AAD071
0	0.0		gi|2313163|gb|AAD071
1	0.3551		gi|2313164|gb|AAD071
1	0.9537		gi|2313165|gb|AAD071
0	0.0		gi|2313172|gb|AAD071
0	0.0308		gi|2313166|gb|AAD071
0	0.0		gi|2313170|gb|AAD071
1	0.4784		gi|2313167|gb|AAD071
0	0.1238		gi|2313168|gb|AAD071
1	0.3706		gi|2313169|gb|AAD071
0	0.0154		gi|2313174|gb|AAD071
1	0.5058		gi|2313175|gb|AAD071
0	0.0		gi|4580425|gb|AAD071
0	0.0		gi|2313176|gb|AAD071
1	0.5058		gi|2313182|gb|AAD071
0	0.0		gi|2313177|gb|AAD071
0	0.0		gi|2313183|gb|AAD071
0	0.0771		gi|2313178|gb|AAD071
0	0.0		gi|2313179|gb|AAD071
0	0.0308		gi|2313180|gb|AAD071
0	0.0		gi|2313193|gb|AAD071
0	0.1083		gi|2313185|gb|AAD071
0	0.0		gi|2313186|gb|AAD071
0	0.0		gi|2313187|gb|AAD071
0	0.0		gi|2313188|gb|AAD071
0	0.0154		gi|2313189|gb|AAD071
0	0.0467		gi|2313190|gb|AAD071
0	0.0		gi|2313194|gb|AAD071
1	0.8604		gi|2313191|gb|AAD071
1	0.8454		gi|2313192|gb|AAD071
0	0.062		gi|2313195|gb|AAD071
0	0.0		gi|2313200|gb|AAD071
0	0.0154		gi|2313201|gb|AAD071
0	0.0308		gi|2313202|gb|AAD071
0	0.0		gi|2313197|gb|AAD071
1	0.3239		gi|2313198|gb|AAD071
0	0.047		gi|2313199|gb|AAD071
0	0.0154		gi|2313203|gb|AAD071
0	0.0		gi|2313204|gb|AAD071
0	0.0308		gi|2313211|gb|AAD071
0	0.0771		gi|2313206|gb|AAD071
1	0.5058		gi|2313215|gb|AAD072
1	0.9534		gi|2313207|gb|AAD071
1	0.9225		gi|2313208|gb|AAD071
1	0.8304		gi|2313210|gb|AAD071
1	0.8605		gi|2313209|gb|AAD071
0	0.0		gi|2313212|gb|AAD071
0	0.0		gi|2313216|gb|AAD072
0	0.0308		gi|2313213|gb|AAD071
0	0.0		gi|2313214|gb|AAD071
0	0.0		gi|2313229|gb|AAD072
0	0.0		gi|2313218|gb|AAD072
0	0.0		gi|2313219|gb|AAD072
0	0.0462		gi|2313220|gb|AAD072
0	0.0		gi|2313228|gb|AAD072
0	0.0154		gi|2313221|gb|AAD072
0	0.0154		gi|2313227|gb|AAD072
0	0.0		gi|2313222|gb|AAD072
0	0.0		gi|2313223|gb|AAD072
0	0.0154		gi|2313224|gb|AAD072
0	0.0		gi|2313225|gb|AAD072
0	0.0		gi|2313226|gb|AAD072
0	0.0778		gi|2313231|gb|AAD072
0	0.0621		gi|2313232|gb|AAD072
1	0.5058		gi|2313239|gb|AAD072
1	0.5678		gi|2313233|gb|AAD072
1	0.5058		gi|2313246|gb|AAD072
0	0.0		gi|2313240|gb|AAD072
0	0.0154		gi|2313241|gb|AAD072
0	0.0		gi|2313234|gb|AAD072
0	0.0158		gi|2313242|gb|AAD072
1	0.5829		gi|2313235|gb|AAD072
1	0.3552		gi|2313236|gb|AAD072
0	0.0		gi|2313243|gb|AAD072
0	0.0		gi|2313244|gb|AAD072
1	0.6916		gi|2313237|gb|AAD072
0	0.0		gi|2313245|gb|AAD072
0	0.0154		gi|2313238|gb|AAD072
0	0.0		gi|2313248|gb|AAD072
0	0.0		gi|2313262|gb|AAD072
0	0.0308		gi|2313249|gb|AAD072
0	0.2006		gi|2313250|gb|AAD072
1	0.5366		gi|2313251|gb|AAD072
0	0.0		gi|2313257|gb|AAD072
0	0.0925		gi|2313252|gb|AAD072
0	0.0		gi|2313258|gb|AAD072
0	0.0		gi|2313259|gb|AAD072
0	0.0		gi|2313253|gb|AAD072
0	0.0158		gi|2313260|gb|AAD072
1	0.3706		gi|2313254|gb|AAD072
0	0.0154		gi|2313255|gb|AAD072
0	0.0		gi|2313256|gb|AAD072
0	0.0154		gi|2313261|gb|AAD072
1	0.5832		gi|2313264|gb|AAD072
1	0.3092		gi|2313265|gb|AAD072
1	0.2471		gi|2313266|gb|AAD072
0	0.0158		gi|2313267|gb|AAD072
0	0.0158		gi|2313268|gb|AAD072
0	0.1542		gi|2313269|gb|AAD072
0	0.047		gi|2313272|gb|AAD072
1	0.9226		gi|2313270|gb|AAD072
0	0.2313		gi|2313271|gb|AAD072
0	0.0		gi|2313273|gb|AAD072
0	0.0		gi|2313274|gb|AAD072
0	0.0		gi|2313284|gb|AAD072
0	0.0		gi|2313285|gb|AAD072
1	0.5058		gi|2313286|gb|AAD072
0	0.0		gi|2313276|gb|AAD072
1	0.552		gi|2313277|gb|AAD072
0	0.1388		gi|2313278|gb|AAD072
0	0.2008		gi|2313279|gb|AAD072
0	0.0158		gi|2313280|gb|AAD072
1	0.3239		gi|2313281|gb|AAD072
0	0.216		gi|2313282|gb|AAD072
1	0.7525		gi|2313283|gb|AAD072
1	0.953		gi|2313288|gb|AAD072
0	0.17		gi|2313289|gb|AAD072
0	0.0312		gi|2313294|gb|AAD072
1	0.707		gi|2313293|gb|AAD072
1	0.7683		gi|2313290|gb|AAD072
1	0.2934		gi|2313291|gb|AAD072
0	0.0		gi|2313295|gb|AAD072
0	0.0		gi|2313296|gb|AAD072
0	0.0		gi|2313297|gb|AAD072
0	0.0		gi|2313298|gb|AAD072
0	0.1542		gi|2313292|gb|AAD072
0	0.0		gi|2313307|gb|AAD072
0	0.0154		gi|2313300|gb|AAD072
0	0.0		gi|2313301|gb|AAD072
1	0.2622		gi|2313302|gb|AAD072
0	0.1392		gi|2313303|gb|AAD072
0	0.0		gi|2313304|gb|AAD072
1	0.4326		gi|2313305|gb|AAD072
1	0.3088		gi|2313306|gb|AAD072
0	0.0		gi|2313308|gb|AAD072
1	0.5058		gi|2313309|gb|AAD072
0	0.0154		gi|2313318|gb|AAD072
1	0.355		gi|2313311|gb|AAD072
1	0.6916		gi|2313312|gb|AAD072
1	0.5058		gi|2313319|gb|AAD072
0	0.0		gi|2313313|gb|AAD072
0	0.0462		gi|2313314|gb|AAD072
0	0.0		gi|2313320|gb|AAD072
0	0.0		gi|2313315|gb|AAD072
0	0.0		gi|2313316|gb|AAD072
0	0.0463		gi|2313317|gb|AAD072
0	0.0		gi|2313322|gb|AAD072
1	0.2776		gi|2313323|gb|AAD072
0	0.0312		gi|2313333|gb|AAD073
0	0.0		gi|2313324|gb|AAD073
0	0.0154		gi|2313325|gb|AAD073
0	0.0154		gi|2313326|gb|AAD073
0	0.0		gi|2313327|gb|AAD073
0	0.0158		gi|2313334|gb|AAD073
1	0.7841		gi|2313328|gb|AAD073
1	0.4476		gi|2313329|gb|AAD073
0	0.2009		gi|2313330|gb|AAD073
1	0.7529		gi|2313331|gb|AAD073
0	0.0158		gi|2313335|gb|AAD073
1	0.5058		gi|2313336|gb|AAD073
0	0.0154		gi|2313332|gb|AAD073
0	0.0154		gi|2313338|gb|AAD073
0	0.0		gi|2313346|gb|AAD073
0	0.0154		gi|2313339|gb|AAD073
0	0.0617		gi|2313340|gb|AAD073
0	0.0308		gi|2313341|gb|AAD073
0	0.0		gi|2313347|gb|AAD073
0	0.0154		gi|2313342|gb|AAD073
0	0.0154		gi|2313343|gb|AAD073
0	0.0		gi|2313344|gb|AAD073
0	0.0		gi|2313348|gb|AAD073
0	0.0		gi|2313345|gb|AAD073
0	0.17		gi|2313350|gb|AAD073
0	0.0		gi|2313360|gb|AAD073
0	0.0154		gi|2313351|gb|AAD073
0	0.1233		gi|2313352|gb|AAD073
0	0.0		gi|2313353|gb|AAD073
0	0.0		gi|2313354|gb|AAD073
0	0.0		gi|2313361|gb|AAD073
0	0.0		gi|2313362|gb|AAD073
0	0.0		gi|2313355|gb|AAD073
0	0.0463		gi|2313356|gb|AAD073
1	0.5674		gi|2313357|gb|AAD073
0	0.1083		gi|2313358|gb|AAD073
0	0.0312		gi|2313359|gb|AAD073
1	0.5216		gi|2313371|gb|AAD073
1	0.5373		gi|2313364|gb|AAD073
0	0.0929		gi|2313372|gb|AAD073
0	0.0308		gi|2313373|gb|AAD073
1	0.5058		gi|2313374|gb|AAD073
0	0.0158		gi|2313375|gb|AAD073
0	0.0		gi|2313365|gb|AAD073
1	0.5058		gi|2313366|gb|AAD073
1	0.5058		gi|2313376|gb|AAD073
1	0.5678		gi|2313367|gb|AAD073
0	0.0624		gi|2313368|gb|AAD073
1	0.5828		gi|2313369|gb|AAD073
0	0.1234		gi|2313370|gb|AAD073
0	0.0308		gi|2313378|gb|AAD073
0	0.0154		gi|2313386|gb|AAD073
0	0.1545		gi|2313379|gb|AAD073
0	0.0158		gi|2313380|gb|AAD073
0	0.0312		gi|2313381|gb|AAD073
0	0.0		gi|2313382|gb|AAD073
0	0.0771		gi|2313387|gb|AAD073
1	0.5058		gi|2313388|gb|AAD073
1	0.5366		gi|2313383|gb|AAD073
1	0.5983		gi|2313384|gb|AAD073
0	0.0312		gi|2313389|gb|AAD073
0	0.0		gi|2313390|gb|AAD073
0	0.0775		gi|2313385|gb|AAD073
0	0.0154		gi|2313392|gb|AAD073
0	0.0308		gi|2313393|gb|AAD073
1	0.3397		gi|2313394|gb|AAD073
1	0.8608		gi|2313395|gb|AAD073
1	0.5212		gi|2313396|gb|AAD073
0	0.0308		gi|2313397|gb|AAD073
1	0.5212		gi|2313398|gb|AAD073
1	0.552		gi|2313399|gb|AAD073
0	0.0308		gi|2313400|gb|AAD073
1	0.4322		gi|2313401|gb|AAD073
0	0.0		gi|2313402|gb|AAD073
0	0.0		gi|2313411|gb|AAD073
0	0.1855		gi|2313404|gb|AAD073
0	0.0316		gi|2313412|gb|AAD073
0	0.0154		gi|2313413|gb|AAD073
0	0.0		gi|2313405|gb|AAD073
0	0.0309		gi|2313406|gb|AAD073
0	0.0		gi|2313414|gb|AAD073
0	0.0		gi|2313407|gb|AAD073
0	0.0154		gi|2313408|gb|AAD073
0	0.0		gi|2313416|gb|AAD073
1	0.5058		gi|2313409|gb|AAD073
0	0.0		gi|2313415|gb|AAD073
0	0.0154		gi|2313410|gb|AAD073
0	0.0154		gi|2313418|gb|AAD073
1	0.4476		gi|2313419|gb|AAD073
0	0.1083		gi|2313428|gb|AAD073
1	0.9533		gi|2313420|gb|AAD073
0	0.0316		gi|2313421|gb|AAD073
1	0.5058		gi|2313422|gb|AAD073
0	0.0154		gi|2313429|gb|AAD073
0	0.0		gi|2313423|gb|AAD073
0	0.0154		gi|2313424|gb|AAD073
0	0.0154		gi|2313425|gb|AAD073
1	0.278		gi|2313426|gb|AAD073
1	0.4325		gi|2313427|gb|AAD073
0	0.1388		gi|2313431|gb|AAD073
0	0.0617		gi|2313432|gb|AAD074
0	0.0771		gi|2313433|gb|AAD074
1	0.5212		gi|2313434|gb|AAD074
0	0.1234		gi|2313435|gb|AAD074
0	0.0		gi|2313439|gb|AAD074
1	0.5058		gi|2313440|gb|AAD074
0	0.0		gi|2313441|gb|AAD074
0	0.0		gi|2313442|gb|AAD074
0	0.0		gi|2313443|gb|AAD074
0	0.0		gi|2313444|gb|AAD074
0	0.0		gi|2313450|gb|AAD074
0	0.0		gi|2313445|gb|AAD074
0	0.0		gi|2313446|gb|AAD074
0	0.0		gi|2313447|gb|AAD074
0	0.0		gi|2313448|gb|AAD074
0	0.0154		gi|2313449|gb|AAD074
0	0.0158		gi|2313436|gb|AAD074
0	0.0308		gi|2313437|gb|AAD074
1	0.4171		gi|2313438|gb|AAD074
0	0.0		gi|2313458|gb|AAD074
0	0.0308		gi|2313452|gb|AAD074
0	0.0158		gi|2313453|gb|AAD074
0	0.0158		gi|2313454|gb|AAD074
1	0.3705		gi|2313455|gb|AAD074
0	0.0772		gi|2313456|gb|AAD074
0	0.0		gi|2313459|gb|AAD074
0	0.0		gi|2313457|gb|AAD074
0	0.0		gi|2313460|gb|AAD074
1	0.5058		gi|2313473|gb|AAD074
0	0.0929		gi|2313462|gb|AAD074
0	0.0616		gi|2313463|gb|AAD074
0	0.1542		gi|2313464|gb|AAD074
1	0.552		gi|2313465|gb|AAD074
1	0.2938		gi|2313466|gb|AAD074
0	0.0		gi|2313474|gb|AAD074
0	0.0925		gi|2313467|gb|AAD074
0	0.0463		gi|2313470|gb|AAD074
0	0.0		gi|2313471|gb|AAD074
0	0.0		gi|2313472|gb|AAD074
1	0.3085		gi|2313468|gb|AAD074
1	0.3393		gi|2313469|gb|AAD074
0	0.0617		gi|2313476|gb|AAD074
0	0.0154		gi|2313477|gb|AAD074
0	0.0154		gi|2313478|gb|AAD074
0	0.0		gi|2313484|gb|AAD074
1	0.2934		gi|2313479|gb|AAD074
0	0.0		gi|2313480|gb|AAD074
1	0.5828		gi|2313481|gb|AAD074
0	0.0154		gi|2313482|gb|AAD074
0	0.0462		gi|2313483|gb|AAD074
0	0.1854		gi|2313486|gb|AAD074
0	0.0		gi|2313487|gb|AAD074
0	0.0		gi|2313499|gb|AAD074
0	0.0		gi|2313500|gb|AAD074
0	0.0158		gi|2313501|gb|AAD074
1	0.5058		gi|2313504|gb|AAD074
0	0.2163		gi|2313488|gb|AAD074
1	0.5058		gi|2313489|gb|AAD074
0	0.0926		gi|2313490|gb|AAD074
0	0.0		gi|2313491|gb|AAD074
0	0.0154		gi|2313492|gb|AAD074
0	0.0308		gi|2313493|gb|AAD074
0	0.0154		gi|2313494|gb|AAD074
0	0.0929		gi|2313502|gb|AAD074
1	0.5366		gi|2313495|gb|AAD074
0	0.155		gi|2313496|gb|AAD074
0	0.0617		gi|2313497|gb|AAD074
0	0.0		gi|2313503|gb|AAD074
1	0.2934		gi|2313498|gb|AAD074
1	0.3092		gi|2313506|gb|AAD074
0	0.1237		gi|2313507|gb|AAD074
1	0.4627		gi|2313508|gb|AAD074
1	0.9688		gi|2313509|gb|AAD074
0	0.0308		gi|2313510|gb|AAD074
1	0.537		gi|2313511|gb|AAD074
0	0.047		gi|2313513|gb|AAD074
0	0.0		gi|2313512|gb|AAD074
1	0.5058		gi|2313525|gb|AAD074
1	0.7217		gi|2313515|gb|AAD074
0	0.0154		gi|2313516|gb|AAD074
0	0.0		gi|2313526|gb|AAD074
0	0.0		gi|2313529|gb|AAD074
0	0.0		gi|2313517|gb|AAD074
0	0.0		gi|2313518|gb|AAD074
0	0.0		gi|2313519|gb|AAD074
0	0.0		gi|2313520|gb|AAD074
1	0.3548		gi|2313521|gb|AAD074
1	0.5058		gi|2313527|gb|AAD074
1	0.5366		gi|2313522|gb|AAD074
0	0.0154		gi|2313528|gb|AAD074
0	0.0925		gi|2313523|gb|AAD074
0	0.0308		gi|2313524|gb|AAD074
0	0.0		gi|2313531|gb|AAD074
0	0.0		gi|2313532|gb|AAD074
0	0.0154		gi|2313533|gb|AAD074
0	0.0		gi|2313534|gb|AAD074
0	0.0		gi|2313535|gb|AAD074
0	0.0154		gi|2313537|gb|AAD074
0	0.0		gi|2313552|gb|AAD075
0	0.0		gi|2313553|gb|AAD075
0	0.0308		gi|2313538|gb|AAD074
0	0.0926		gi|2313539|gb|AAD074
0	0.0		gi|2313544|gb|AAD075
0	0.0		gi|2313545|gb|AAD075
0	0.0154		gi|2313546|gb|AAD075
0	0.0309		gi|2313547|gb|AAD075
0	0.0		gi|2313540|gb|AAD075
0	0.0		gi|2313541|gb|AAD075
1	0.5058		gi|2313548|gb|AAD075
0	0.0		gi|2313542|gb|AAD075
0	0.0		gi|2313543|gb|AAD075
0	0.0		gi|2313549|gb|AAD075
0	0.0		gi|2313550|gb|AAD075
0	0.0		gi|2313551|gb|AAD075
1	0.5058		gi|2313562|gb|AAD075
0	0.0		gi|2313557|gb|AAD075
0	0.0		gi|2313555|gb|AAD075
0	0.0		gi|2313558|gb|AAD075
0	0.0154		gi|2313559|gb|AAD075
0	0.0		gi|2313563|gb|AAD075
0	0.0154		gi|4580426|gb|AAD243
0	0.0154		gi|2313556|gb|AAD075
0	0.0		gi|2313560|gb|AAD075
0	0.0154		gi|2313561|gb|AAD075
0	0.0		gi|2313575|gb|AAD075
1	0.5058		gi|2313576|gb|AAD075
0	0.0154		gi|2313577|gb|AAD075
0	0.0		gi|2313578|gb|AAD075
0	0.0		gi|2313565|gb|AAD075
1	0.5366		gi|2313579|gb|AAD075
0	0.0		gi|2313580|gb|AAD075
0	0.0154		gi|2313566|gb|AAD075
0	0.0		gi|2313567|gb|AAD075
0	0.0		gi|2313568|gb|AAD075
0	0.0		gi|2313569|gb|AAD075
1	0.5366		gi|2313570|gb|AAD075
0	0.0		gi|2313571|gb|AAD075
0	0.0		gi|2313572|gb|AAD075
1	0.5058		gi|2313573|gb|AAD075
1	0.5212		gi|2313574|gb|AAD075
0	0.0308		gi|2313582|gb|AAD075
0	0.0		gi|2313583|gb|AAD075
0	0.0154		gi|2313584|gb|AAD075
0	0.077		gi|2313585|gb|AAD075
0	0.0		gi|2313586|gb|AAD075
1	0.4942		gi|2313587|gb|AAD075
0	0.0154		gi|2313591|gb|AAD075
0	0.0		gi|2313588|gb|AAD075
0	0.0154		gi|2313592|gb|AAD075
0	0.0154		gi|2313589|gb|AAD075
0	0.0616		gi|2313590|gb|AAD075
0	0.0154		gi|2313596|gb|AAD075
0	0.0		gi|2313597|gb|AAD075
0	0.0		gi|2313595|gb|AAD075
0	0.0154		gi|2313598|gb|AAD075
0	0.0		gi|2313599|gb|AAD075
0	0.0		gi|2313600|gb|AAD075
1	0.5366		gi|2313601|gb|AAD075
0	0.0462		gi|2313603|gb|AAD075
1	0.8146		gi|2313612|gb|AAD075
0	0.0154		gi|2313613|gb|AAD075
1	0.4473		gi|2313604|gb|AAD075
1	0.4318		gi|2313605|gb|AAD075
0	0.0		gi|2313614|gb|AAD075
0	0.0463		gi|2313606|gb|AAD075
0	0.0154		gi|2313607|gb|AAD075
0	0.0		gi|2313608|gb|AAD075
0	0.0		gi|2313609|gb|AAD075
1	0.9071		gi|2313610|gb|AAD075
1	0.4939		gi|2313611|gb|AAD075
0	0.0		gi|2313615|gb|AAD075
0	0.0155		gi|2313622|gb|AAD075
0	0.0		gi|2313626|gb|AAD075
1	0.5211		gi|2313623|gb|AAD075
0	0.0308		gi|2313617|gb|AAD075
1	0.5058		gi|2313618|gb|AAD075
0	0.0154		gi|2313624|gb|AAD075
0	0.0154		gi|2313619|gb|AAD075
1	0.8146		gi|2313620|gb|AAD075
0	0.0		gi|2313627|gb|AAD075
0	0.2008		gi|2313621|gb|AAD075
0	0.0		gi|2313625|gb|AAD075
0	0.0617		gi|2313629|gb|AAD075
0	0.0158		gi|2313630|gb|AAD075
0	0.0		gi|2313631|gb|AAD075
1	0.3551		gi|2313632|gb|AAD075
0	0.0316		gi|2313633|gb|AAD075
0	0.0		gi|2313634|gb|AAD075
0	0.0308		gi|2313635|gb|AAD075
0	0.0		gi|2313636|gb|AAD075
0	0.0154		gi|2313637|gb|AAD075
0	0.0154		gi|2313638|gb|AAD075
0	0.0154		gi|2313639|gb|AAD075
0	0.0		gi|2313640|gb|AAD075
0	0.0		gi|2313642|gb|AAD075
0	0.0		gi|2313643|gb|AAD075
0	0.0463		gi|2313644|gb|AAD075
0	0.0308		gi|2313645|gb|AAD075
0	0.0		gi|2313647|gb|AAD075
0	0.0154		gi|2313648|gb|AAD075
0	0.0		gi|2313662|gb|AAD076
0	0.0		gi|2313649|gb|AAD076
0	0.0308		gi|2313650|gb|AAD076
0	0.0		gi|2313651|gb|AAD076
0	0.0		gi|2313652|gb|AAD076
0	0.0		gi|2313653|gb|AAD076
0	0.0		gi|2313654|gb|AAD076
0	0.0		gi|2313655|gb|AAD076
0	0.0929		gi|2313656|gb|AAD076
0	0.0		gi|2313657|gb|AAD076
0	0.0		gi|2313658|gb|AAD076
0	0.0		gi|2313659|gb|AAD076
0	0.0		gi|2313660|gb|AAD076
0	0.0154		gi|2313661|gb|AAD076
0	0.0154		gi|2313664|gb|AAD076
1	0.3243		gi|2313665|gb|AAD076
1	0.2467		gi|2313666|gb|AAD076
1	0.7374		gi|2313667|gb|AAD076
0	0.0309		gi|2313668|gb|AAD076
0	0.0158		gi|2313669|gb|AAD076
1	0.5216		gi|2313670|gb|AAD076
0	0.0624		gi|2313671|gb|AAD076
0	0.0308		gi|2313682|gb|AAD076
1	0.3394		gi|2313675|gb|AAD076
1	0.2937		gi|2313676|gb|AAD076
1	0.892		gi|2313677|gb|AAD076
0	0.0		gi|2313684|gb|AAD076
1	0.3856		gi|2313678|gb|AAD076
0	0.1389		gi|2313679|gb|AAD076
0	0.0154		gi|2313683|gb|AAD076
0	0.0		gi|2313685|gb|AAD076
0	0.0309		gi|2313680|gb|AAD076
1	0.2626		gi|2313673|gb|AAD076
0	0.047		gi|2313674|gb|AAD076
0	0.0154		gi|2313681|gb|AAD076
0	0.0463		gi|2313689|gb|AAD076
0	0.0308		gi|2313690|gb|AAD076
0	0.0		gi|2313691|gb|AAD076
1	0.5678		gi|2313692|gb|AAD076
1	0.5524		gi|2313701|gb|AAD076
1	0.614		gi|2313693|gb|AAD076
0	0.0		gi|2313694|gb|AAD076
1	0.2777		gi|2313695|gb|AAD076
1	0.34		gi|2313696|gb|AAD076
0	0.0617		gi|2313702|gb|AAD076
0	0.0		gi|2313697|gb|AAD076
0	0.0154		gi|2313698|gb|AAD076
0	0.0617		gi|2313687|gb|AAD076
0	0.0		gi|2313699|gb|AAD076
1	0.5058		gi|2313700|gb|AAD076
0	0.0		gi|2313688|gb|AAD076
0	0.0		gi|2313704|gb|AAD076
1	0.5212		gi|2313711|gb|AAD076
1	0.552		gi|2313705|gb|AAD076
0	0.0466		gi|2313706|gb|AAD076
1	0.5212		gi|2313707|gb|AAD076
1	0.5215		gi|2313708|gb|AAD076
1	0.5212		gi|2313709|gb|AAD076
0	0.0		gi|2313710|gb|AAD076
0	0.0		gi|2313713|gb|AAD076
0	0.0158		gi|2313720|gb|AAD076
0	0.0154		gi|2313718|gb|AAD076
0	0.0309		gi|2313719|gb|AAD076
1	0.5836		gi|2313714|gb|AAD076
1	0.552		gi|2313715|gb|AAD076
0	0.0155		gi|2313716|gb|AAD076
0	0.0		gi|2313717|gb|AAD076
0	0.0		gi|2313722|gb|AAD076
0	0.0		gi|2313723|gb|AAD076
0	0.0		gi|2313727|gb|AAD076
1	0.2622		gi|2313724|gb|AAD076
1	0.5212		gi|2313728|gb|AAD076
0	0.0		gi|2313725|gb|AAD076
0	0.0		gi|2313726|gb|AAD076
0	0.0		gi|2313729|gb|AAD076
0	0.0		gi|2313733|gb|AAD076
0	0.0		gi|2313731|gb|AAD076
0	0.0463		gi|2313734|gb|AAD076
0	0.0		gi|2313735|gb|AAD076
0	0.0		gi|2313732|gb|AAD076
1	0.5058		gi|2313745|gb|AAD076
1	0.4935		gi|2313737|gb|AAD076
0	0.0		gi|2313738|gb|AAD076
1	0.4318		gi|2313739|gb|AAD076
1	0.4014		gi|2313740|gb|AAD076
1	0.2471		gi|2313741|gb|AAD076
0	0.0309		gi|2313742|gb|AAD076
0	0.0		gi|2313746|gb|AAD076
1	0.4634		gi|2313743|gb|AAD076
0	0.0		gi|2313744|gb|AAD076
1	0.3396		gi|2313753|gb|AAD076
0	0.2005		gi|2313754|gb|AAD076
0	0.0		gi|2313756|gb|AAD076
0	0.0		gi|2313757|gb|AAD076
0	0.0		gi|2313758|gb|AAD077
0	0.0154		gi|2313748|gb|AAD076
0	0.0308		gi|2313749|gb|AAD076
0	0.0		gi|2313750|gb|AAD076
0	0.0154		gi|2313751|gb|AAD076
0	0.0		gi|2313752|gb|AAD076
0	0.0154		gi|2313755|gb|AAD076
0	0.0		gi|2313772|gb|AAD077
0	0.0		gi|2313773|gb|AAD077
0	0.0154		gi|2313774|gb|AAD077
0	0.0		gi|2313760|gb|AAD077
1	0.2625		gi|2313761|gb|AAD077
1	0.5212		gi|2313775|gb|AAD077
0	0.0		gi|2313762|gb|AAD077
0	0.0		gi|2313763|gb|AAD077
1	0.5212		gi|2313764|gb|AAD077
0	0.0		gi|2313765|gb|AAD077
1	0.7223		gi|2313766|gb|AAD077
1	0.5212		gi|2313776|gb|AAD077
1	0.8455		gi|2313767|gb|AAD077
0	0.0		gi|2313768|gb|AAD077
1	0.5058		gi|2313777|gb|AAD077
0	0.0		gi|2313769|gb|AAD077
