#Total 4140 genes are submitted
#324 of them are predicted as essential genes
Class(essential gene:1,others:0)	Essentiality Score	Protein
0	0.0		gi|1786320|gb|AAC732
0	0.0119		gi|1786321|gb|AAC732
0	0.0122		gi|1786322|gb|AAC732
0	0.048		gi|1786323|gb|AAC732
0	0.0119		gi|1786324|gb|AAC732
0	0.1444		gi|1786325|gb|AAC732
0	0.132		gi|1786326|gb|AAC732
0	0.0		gi|1786328|gb|AAC732
0	0.0		gi|1786329|gb|AAC732
0	0.0		gi|1786330|gb|AAC732
0	0.0		gi|87081690|gb|AAC73
0	0.0121		gi|1786332|gb|AAC732
0	0.0		gi|1786333|gb|AAC732
0	0.0		gi|1786334|gb|AAC732
1	0.8094		gi|1786335|gb|AAC732
0	0.1317		gi|87081691|gb|AAC73
0	0.0		gi|226510925|gb|AAC7
0	0.024		gi|1786338|gb|AAC732
0	0.0		gi|1786340|gb|AAC732
0	0.0		gi|87081692|gb|AAC73
0	0.0		gi|87081693|gb|AAC73
0	0.048		gi|1786343|gb|AAC732
0	0.0		gi|1786344|gb|AAC732
0	0.0122		gi|1786345|gb|AAC732
0	0.0		gi|1786346|gb|AAC732
0	0.0121		gi|1786347|gb|AAC732
1	0.7335		gi|1786349|gb|AAC732
0	0.0		gi|1786350|gb|AAC732
1	0.7295		gi|1786351|gb|AAC732
0	0.0		gi|1786352|gb|AAC732
0	0.0		gi|1786353|gb|AAC732
0	0.0919		gi|1786354|gb|AAC732
0	0.0		gi|1786355|gb|AAC732
0	0.0358		gi|1786356|gb|AAC732
0	0.0		gi|87081694|gb|AAC73
0	0.0		gi|1786359|gb|AAC732
0	0.0		gi|87081695|gb|AAC73
1	0.7529		gi|1786362|gb|AAC732
0	0.0119		gi|1786363|gb|AAC732
1	0.86		gi|1786364|gb|AAC732
1	0.9083		gi|1786365|gb|AAC732
1	0.952		gi|1786366|gb|AAC732
1	0.9522		gi|1786367|gb|AAC732
1	0.9684		gi|1786368|gb|AAC732
1	0.8372		gi|1786369|gb|AAC732
1	0.9287		gi|1786371|gb|AAC732
1	0.9406		gi|87081696|gb|AAC73
1	0.6848		gi|1786373|gb|AAC732
1	0.833		gi|1786374|gb|AAC732
0	0.0481		gi|1786375|gb|AAC732
1	0.8131		gi|1786376|gb|AAC732
1	0.8252		gi|1786377|gb|AAC732
1	0.8329		gi|1786378|gb|AAC732
1	0.8253		gi|1786379|gb|AAC732
0	0.0243		gi|1786380|gb|AAC732
1	0.9564		gi|1786381|gb|AAC732
1	0.8684		gi|1786382|gb|AAC732
0	0.0		gi|1786384|gb|AAC732
0	0.0		gi|87081697|gb|AAC73
1	0.9445		gi|1786386|gb|AAC732
0	0.0		gi|87081698|gb|AAC73
0	0.0		gi|48994876|gb|AAT48
0	0.0239		gi|1786388|gb|AAC733
0	0.0		gi|1786389|gb|AAC733
0	0.0		gi|1786390|gb|AAC733
0	0.0		gi|87081699|gb|AAC73
1	0.9445		gi|1786392|gb|AAC733
0	0.0		gi|1786393|gb|AAC733
0	0.0		gi|1786394|gb|AAC733
0	0.0119		gi|1786396|gb|AAC733
0	0.0		gi|1786397|gb|AAC733
0	0.0		gi|1786398|gb|AAC733
0	0.0482		gi|1786399|gb|AAC733
0	0.0		gi|1786400|gb|AAC733
0	0.0		gi|1786401|gb|AAC733
0	0.0318		gi|1786403|gb|AAC733
0	0.0		gi|1786404|gb|AAC733
0	0.0122		gi|1786405|gb|AAC733
0	0.0		gi|1786406|gb|AAC733
0	0.0242		gi|87081700|gb|AAC73
0	0.0725		gi|1786408|gb|AAC733
0	0.1606		gi|1786409|gb|AAC733
0	0.012		gi|1786410|gb|AAC733
0	0.0		gi|145693093|gb|ABP9
0	0.0119		gi|1786412|gb|AAC733
0	0.0		gi|1786413|gb|AAC733
0	0.0		gi|87081702|gb|AAC73
0	0.0316		gi|1786416|gb|AAC733
0	0.0		gi|1786417|gb|AAC733
0	0.0239		gi|1786418|gb|AAC733
0	0.012		gi|1786419|gb|AAC733
0	0.0122		gi|1786420|gb|AAC733
0	0.0		gi|1786421|gb|AAC733
0	0.0		gi|1786422|gb|AAC733
0	0.0		gi|1786425|gb|AAC733
0	0.0197		gi|1786426|gb|AAC733
0	0.0		gi|1786427|gb|AAC733
0	0.0		gi|1786428|gb|AAC733
0	0.0119		gi|1786432|gb|AAC733
0	0.0119		gi|1786433|gb|AAC733
0	0.0119		gi|1786434|gb|AAC733
0	0.0		gi|1786436|gb|AAC733
0	0.1083		gi|1786437|gb|AAC733
0	0.0844		gi|1786438|gb|AAC733
0	0.0		gi|1786439|gb|AAC733
0	0.0		gi|1786440|gb|AAC733
0	0.012		gi|87081704|gb|ABD18
0	0.0		gi|2367100|gb|AAC733
0	0.0121		gi|1786442|gb|AAC733
0	0.0		gi|1786443|gb|AAC733
0	0.0		gi|1786444|gb|AAC733
0	0.0		gi|145693094|gb|AAC7
0	0.0		gi|87081705|gb|AAC73
0	0.0		gi|87081706|gb|AAC73
0	0.0		gi|1786448|gb|AAC733
0	0.0		gi|1786450|gb|AAC733
0	0.0		gi|1786453|gb|AAC733
0	0.0119		gi|87081708|gb|AAC73
0	0.0		gi|1786456|gb|AAC733
0	0.0		gi|87081709|gb|AAC73
0	0.0		gi|1786459|gb|AAC733
0	0.0		gi|1786460|gb|AAC733
0	0.0119		gi|1786462|gb|AAC733
0	0.0		gi|345297170|gb|AAC7
0	0.0		gi|1786464|gb|AAC733
1	0.593		gi|1786466|gb|AAC733
0	0.0		gi|1786467|gb|AAC733
0	0.0		gi|1786468|gb|AAC733
0	0.0241		gi|1786469|gb|AAC733
0	0.0122		gi|1786470|gb|AAC733
0	0.0		gi|1786471|gb|AAC733
0	0.0		gi|1786473|gb|AAC733
0	0.0		gi|1786474|gb|AAC733
0	0.0		gi|2367101|gb|AAC733
0	0.0		gi|2367102|gb|AAC733
0	0.0		gi|2367104|gb|AAC733
0	0.0		gi|1786477|gb|AAC733
0	0.0		gi|1786478|gb|AAC733
0	0.0		gi|1786479|gb|AAC733
0	0.0122		gi|1786480|gb|AAC733
0	0.0		gi|1786481|gb|AAC733
0	0.0		gi|2367105|gb|AAC733
0	0.0		gi|87081712|gb|AAC73
0	0.0121		gi|1786483|gb|AAC733
0	0.0		gi|1786484|gb|AAC733
0	0.0		gi|1786485|gb|AAC733
0	0.0		gi|1786486|gb|AAC733
0	0.0		gi|2367106|gb|AAC733
0	0.0		gi|2367107|gb|AAC733
0	0.0599		gi|87081713|gb|ABD18
0	0.0599		gi|2367109|gb|AAC733
0	0.0		gi|226510926|gb|ACO5
0	0.0		gi|226510927|gb|AAC7
0	0.0		gi|1786490|gb|AAC734
0	0.0119		gi|87081715|gb|AAC73
0	0.0		gi|87081716|gb|AAC73
0	0.0		gi|87081717|gb|AAC73
0	0.0		gi|1786496|gb|AAC734
0	0.0		gi|1786497|gb|AAC734
0	0.0		gi|1786498|gb|AAC734
0	0.0		gi|87081718|gb|AAC73
0	0.0		gi|1786502|gb|AAC734
0	0.0		gi|1786503|gb|AAC734
0	0.0119		gi|1786504|gb|AAC734
0	0.0119		gi|1786505|gb|AAC734
0	0.0		gi|1786506|gb|AAC734
0	0.0		gi|1786507|gb|AAC734
0	0.0		gi|1786508|gb|AAC734
0	0.0		gi|1786509|gb|AAC734
0	0.0119		gi|1786511|gb|AAC734
0	0.0		gi|1786512|gb|AAC734
0	0.0		gi|1786513|gb|AAC734
0	0.0		gi|1786514|gb|AAC734
0	0.012		gi|1786516|gb|AAC734
0	0.0		gi|1786517|gb|AAC734
0	0.0		gi|1786518|gb|AAC734
0	0.0119		gi|1786519|gb|AAC734
0	0.0		gi|87081720|gb|AAC73
0	0.0239		gi|1786522|gb|AAC734
0	0.0		gi|1786523|gb|AAC734
0	0.0		gi|1786524|gb|AAC734
0	0.0		gi|1786525|gb|AAC734
0	0.0		gi|1786527|gb|AAC734
0	0.0		gi|1786528|gb|AAC734
0	0.0		gi|1786529|gb|AAC734
0	0.0122		gi|1786530|gb|AAC734
0	0.012		gi|1786531|gb|AAC734
0	0.012		gi|157672245|gb|AAC7
0	0.0361		gi|1786534|gb|AAC734
0	0.0		gi|1786535|gb|AAC734
0	0.0		gi|1786536|gb|AAC734
0	0.0		gi|1786537|gb|AAC734
0	0.0		gi|1786538|gb|AAC734
0	0.0119		gi|1786539|gb|AAC734
0	0.0		gi|1786540|gb|AAC734
0	0.0119		gi|145693096|gb|AAC7
0	0.0		gi|1786543|gb|AAC734
0	0.0		gi|1786544|gb|AAC734
0	0.0119		gi|452909625|gb|AAC7
0	0.0		gi|87081722|gb|AAC73
0	0.0		gi|1786547|gb|AAC734
0	0.0119		gi|1786548|gb|AAC734
0	0.0121		gi|87081723|gb|AAC73
0	0.0		gi|87081724|gb|AAC73
0	0.0		gi|1786551|gb|AAC734
0	0.0		gi|1786552|gb|AAC734
0	0.0		gi|87081725|gb|AAC73
0	0.0		gi|1786555|gb|AAC734
0	0.0		gi|145693097|gb|AAC7
0	0.0		gi|1786558|gb|AAC734
0	0.0		gi|1786560|gb|AAC734
0	0.0		gi|87081726|gb|AAC73
0	0.0		gi|87081727|gb|AAC73
0	0.0		gi|1786563|gb|AAC734
0	0.0		gi|1786564|gb|AAC734
0	0.0122		gi|1786565|gb|AAC734
1	0.7525		gi|87081728|gb|AAC73
0	0.0		gi|1786570|gb|AAC734
0	0.0		gi|226510928|gb|AAC7
0	0.0		gi|226510929|gb|AAC7
0	0.0119		gi|1786574|gb|AAC734
0	0.0119		gi|1786575|gb|AAC734
0	0.0		gi|1786576|gb|AAC734
0	0.0198		gi|1786577|gb|AAC734
0	0.0		gi|87081730|gb|AAC73
0	0.1553		gi|1786579|gb|AAC734
0	0.0		gi|1786581|gb|AAC734
0	0.0		gi|48994877|gb|AAC73
0	0.0		gi|87081731|gb|AAC73
0	0.0		gi|1786584|gb|AAC734
0	0.0847		gi|1786585|gb|AAC734
0	0.0		gi|87081732|gb|AAC73
0	0.0		gi|1786587|gb|AAC734
0	0.0		gi|1786588|gb|AAC734
0	0.0119		gi|1786589|gb|AAC734
0	0.0122		gi|1786590|gb|AAC734
0	0.0		gi|1786592|gb|AAC734
0	0.0		gi|87081733|gb|AAC73
0	0.0		gi|1786595|gb|AAC734
0	0.0242		gi|1786597|gb|AAC735
0	0.0		gi|1786598|gb|AAC735
0	0.0239		gi|1786599|gb|AAC735
0	0.0437		gi|1786600|gb|AAC735
0	0.0		gi|1786601|gb|AAC735
0	0.0		gi|1786602|gb|AAC735
0	0.0		gi|345297171|gb|AAC7
0	0.0		gi|1786605|gb|AAC735
0	0.0358		gi|1786606|gb|AAC735
0	0.0239		gi|1786607|gb|AAC735
0	0.1515		gi|1786608|gb|AAC735
1	0.8131		gi|1786609|gb|AAC735
1	0.7964		gi|1786610|gb|AAC735
0	0.0		gi|1786611|gb|AAC735
0	0.0		gi|1786612|gb|AAC735
0	0.0		gi|87081734|gb|AAC73
0	0.0361		gi|1786615|gb|AAC735
1	0.8009		gi|1786616|gb|AAC735
1	0.7767		gi|1786617|gb|AAC735
0	0.2199		gi|1786618|gb|AAC735
1	0.7774		gi|1786619|gb|AAC735
0	0.0724		gi|1786620|gb|AAC735
0	0.0		gi|87081735|gb|AAC73
1	0.8927		gi|1786622|gb|AAC735
1	0.7329		gi|1786623|gb|AAC735
0	0.012		gi|1786624|gb|AAC735
0	0.0238		gi|1786625|gb|AAC735
0	0.024		gi|87081736|gb|AAC73
0	0.0119		gi|1786627|gb|AAC735
0	0.0119		gi|87081737|gb|AAC73
0	0.0239		gi|87081738|gb|AAC73
0	0.0		gi|1786631|gb|AAC735
0	0.0319		gi|1786632|gb|AAC735
0	0.0241		gi|1786633|gb|AAC735
0	0.0239		gi|1786634|gb|AAC735
0	0.0119		gi|1786635|gb|AAC735
0	0.0		gi|1786636|gb|AAC735
0	0.0122		gi|87081739|gb|AAC73
0	0.0		gi|87081740|gb|AAC73
0	0.012		gi|1786640|gb|AAC735
0	0.096		gi|1786641|gb|AAC735
0	0.1037		gi|1786642|gb|AAC735
0	0.1034		gi|1786643|gb|AAC735
0	0.0716		gi|1786644|gb|AAC735
0	0.0359		gi|1786645|gb|AAC735
0	0.0363		gi|1786646|gb|AAC735
0	0.0		gi|1786647|gb|AAC735
0	0.012		gi|1786648|gb|AAC735
0	0.0		gi|1786650|gb|AAC735
0	0.0		gi|87081741|gb|AAC73
0	0.0119		gi|87081742|gb|AAC73
0	0.0		gi|1786653|gb|AAC735
0	0.0		gi|1786654|gb|AAC735
0	0.0		gi|1786655|gb|AAC735
0	0.0		gi|1786656|gb|AAC735
0	0.0		gi|1786657|gb|AAC735
0	0.0		gi|1786658|gb|AAC735
0	0.0241		gi|1786659|gb|AAC735
0	0.0		gi|1786661|gb|AAC735
0	0.0		gi|87081743|gb|AAC73
0	0.0		gi|87081744|gb|AAC73
0	0.0122		gi|1786664|gb|AAC735
0	0.0		gi|1786665|gb|AAC735
0	0.0		gi|1786666|gb|AAC735
0	0.0393		gi|1786667|gb|AAC735
0	0.0196		gi|1786668|gb|AAC735
0	0.0		gi|1786669|gb|AAC735
0	0.0		gi|1786670|gb|AAC735
0	0.0		gi|1786672|gb|AAC735
0	0.0		gi|1786673|gb|AAC735
0	0.0		gi|1786674|gb|AAC735
0	0.072		gi|1786675|gb|AAC735
1	0.9444		gi|1786676|gb|AAC735
0	0.0597		gi|1786677|gb|AAC735
0	0.0239		gi|1786678|gb|AAC735
0	0.0196		gi|1786679|gb|AAC735
1	0.9161		gi|1786680|gb|AAC735
1	0.8211		gi|1786681|gb|AAC735
0	0.0		gi|1786682|gb|AAC735
0	0.0119		gi|1786684|gb|AAC735
0	0.0		gi|1786685|gb|AAC735
0	0.0		gi|1786686|gb|AAC735
0	0.0		gi|1786687|gb|AAC735
0	0.0		gi|1786688|gb|AAC735
0	0.0119		gi|1786689|gb|AAC735
0	0.012		gi|87081745|gb|AAC73
0	0.0119		gi|1786691|gb|AAC735
0	0.0		gi|1786693|gb|AAC735
0	0.0		gi|1786694|gb|AAC735
0	0.0		gi|1786695|gb|AAC735
0	0.0		gi|145693099|gb|AAC7
0	0.0		gi|1786697|gb|AAC735
0	0.0		gi|1786698|gb|AAC735
0	0.0119		gi|87081746|gb|AAC73
0	0.0		gi|87081747|gb|AAC73
0	0.0119		gi|1786701|gb|AAC735
0	0.0		gi|1786702|gb|AAC735
0	0.0119		gi|1786703|gb|AAC735
0	0.0		gi|1786704|gb|AAC735
0	0.0		gi|1786706|gb|AAC735
0	0.0		gi|1786707|gb|AAC736
0	0.0		gi|1786712|gb|AAC736
0	0.0		gi|1786713|gb|AAC736
0	0.0		gi|1786714|gb|AAC736
0	0.0		gi|1786715|gb|AAC736
0	0.0119		gi|1786717|gb|AAC736
0	0.0		gi|1786718|gb|AAC736
0	0.0		gi|1786719|gb|AAC736
0	0.0		gi|87081749|gb|AAC73
0	0.0719		gi|1786722|gb|AAC736
0	0.0		gi|87081750|gb|AAC73
0	0.0119		gi|1786724|gb|AAC736
0	0.0		gi|1786725|gb|AAC736
0	0.0119		gi|1786726|gb|AAC736
0	0.0		gi|1786727|gb|AAC736
0	0.0		gi|1786729|gb|AAC736
0	0.0		gi|558094914|gb|ABD1
0	0.0		gi|1786731|gb|AAC736
0	0.0		gi|1786732|gb|AAC736
0	0.0602		gi|1786733|gb|AAC736
0	0.0838		gi|1786734|gb|AAC736
1	0.7852		gi|1786735|gb|AAC736
0	0.0124		gi|1786736|gb|AAC736
1	0.9564		gi|1786737|gb|AAC736
0	0.0		gi|1786738|gb|AAC736
0	0.012		gi|87081752|gb|AAC73
1	0.8567		gi|1786741|gb|AAC736
0	0.0		gi|87081753|gb|AAC73
0	0.0		gi|1786743|gb|AAC736
0	0.0121		gi|1786744|gb|AAC736
0	0.0119		gi|145693100|gb|AAC7
0	0.0		gi|1786746|gb|AAC736
0	0.0		gi|1786747|gb|AAC736
0	0.0		gi|1786748|gb|AAC736
0	0.0		gi|226510930|gb|AAC7
0	0.0		gi|1786753|gb|AAC736
0	0.0		gi|1786755|gb|AAC736
0	0.0119		gi|1786756|gb|AAC736
0	0.0		gi|1786757|gb|AAC736
0	0.0		gi|1786758|gb|AAC736
0	0.0		gi|145693101|gb|ABP9
0	0.0		gi|1786759|gb|AAC736
0	0.0		gi|1786760|gb|AAC736
0	0.0		gi|1786761|gb|AAC736
0	0.0		gi|1786762|gb|AAC736
0	0.0		gi|87081756|gb|ABD18
0	0.0		gi|1786763|gb|AAC736
0	0.0		gi|1786764|gb|AAC736
0	0.0		gi|1786767|gb|AAC736
0	0.0121		gi|1786768|gb|AAC736
0	0.0		gi|1786769|gb|AAC736
0	0.0		gi|87081757|gb|ABD18
0	0.0		gi|1786770|gb|AAC736
0	0.0		gi|87081758|gb|AAC73
0	0.0		gi|1786772|gb|AAC736
0	0.0		gi|145693102|gb|ABP9
0	0.0		gi|1786773|gb|AAC736
0	0.0		gi|1786776|gb|AAC736
0	0.0		gi|1786777|gb|AAC736
0	0.0		gi|1786778|gb|AAC736
0	0.0119		gi|1786779|gb|AAC736
0	0.0		gi|1786780|gb|AAC736
0	0.0		gi|1786781|gb|AAC736
0	0.0		gi|1786783|gb|AAC736
0	0.0119		gi|1786784|gb|AAC736
0	0.012		gi|1786785|gb|AAC736
0	0.0		gi|1786786|gb|AAC736
0	0.0		gi|1786787|gb|AAC736
0	0.0119		gi|1786788|gb|AAC736
0	0.0		gi|1786789|gb|AAC736
0	0.0		gi|1786791|gb|AAC736
0	0.0239		gi|1786792|gb|AAC736
0	0.0119		gi|1786793|gb|AAC736
0	0.0		gi|1786794|gb|AAC736
0	0.0		gi|1786795|gb|AAC736
0	0.0		gi|48994879|gb|AAT48
0	0.0		gi|1786796|gb|AAC736
1	0.6293		gi|345297172|gb|AAC7
0	0.0		gi|1786798|gb|AAC736
0	0.0		gi|558094915|gb|AAC7
0	0.0		gi|87081760|gb|ABD18
0	0.0		gi|1786801|gb|AAC736
0	0.0		gi|1786802|gb|AAC736
0	0.0439		gi|1786803|gb|AAC736
0	0.0196		gi|1786804|gb|AAC736
0	0.0196		gi|1786805|gb|AAC736
0	0.012		gi|1786806|gb|AAC736
0	0.0196		gi|1786807|gb|AAC736
0	0.012		gi|1786809|gb|AAC736
0	0.0		gi|1786810|gb|AAC736
0	0.0		gi|1786811|gb|AAC736
0	0.0		gi|1786812|gb|AAC736
0	0.0		gi|1786813|gb|AAC736
0	0.0513		gi|1786814|gb|AAC736
0	0.0119		gi|87081761|gb|ABD18
0	0.0		gi|1786815|gb|AAC737
0	0.012		gi|1786816|gb|AAC737
0	0.0241		gi|1786817|gb|AAC737
0	0.0		gi|1786818|gb|AAC737
0	0.0		gi|1786820|gb|AAC737
0	0.0239		gi|87081762|gb|AAC73
0	0.0119		gi|1786822|gb|AAC737
0	0.0		gi|87081763|gb|AAC73
0	0.0		gi|1786824|gb|AAC737
0	0.0198		gi|1786825|gb|AAC737
0	0.0		gi|1786827|gb|AAC737
0	0.0		gi|1786828|gb|AAC737
0	0.0		gi|1786829|gb|AAC737
0	0.0		gi|1786830|gb|AAC737
0	0.0		gi|1786831|gb|AAC737
0	0.0		gi|1786832|gb|AAC737
0	0.0198		gi|87081764|gb|AAC73
0	0.0		gi|1786834|gb|AAC737
0	0.0		gi|87081765|gb|AAC73
0	0.0		gi|1786837|gb|AAC737
0	0.0		gi|1786838|gb|AAC737
0	0.0		gi|1786839|gb|AAC737
0	0.0		gi|1786840|gb|AAC737
0	0.0		gi|1786841|gb|AAC737
0	0.0243		gi|1786842|gb|AAC737
0	0.0		gi|1786845|gb|AAC737
0	0.1519		gi|1786846|gb|AAC737
0	0.0		gi|87081766|gb|AAC73
0	0.1523		gi|87081767|gb|AAC73
0	0.044		gi|1786850|gb|AAC737
0	0.0		gi|1786851|gb|AAC737
0	0.0241		gi|1786852|gb|AAC737
1	0.8006		gi|1786853|gb|AAC737
1	0.7286		gi|1786854|gb|AAC737
0	0.0124		gi|1786855|gb|AAC737
0	0.0238		gi|87081768|gb|AAC73
0	0.0119		gi|1786857|gb|AAC737
1	0.8479		gi|1786858|gb|AAC737
1	0.797		gi|1786859|gb|AAC737
1	0.669		gi|1786860|gb|AAC737
1	0.9324		gi|1786861|gb|AAC737
0	0.0		gi|1786863|gb|AAC737
0	0.0		gi|87081769|gb|AAC73
0	0.0122		gi|1786865|gb|AAC737
0	0.0		gi|1786866|gb|AAC737
0	0.0		gi|1786867|gb|AAC737
0	0.0239		gi|1786868|gb|AAC737
0	0.0		gi|1786869|gb|AAC737
0	0.0		gi|1786870|gb|AAC737
0	0.0		gi|1786871|gb|AAC737
0	0.0		gi|1786872|gb|AAC737
0	0.0		gi|1786873|gb|AAC737
0	0.0		gi|1786874|gb|AAC737
0	0.0		gi|1786876|gb|AAC737
0	0.0		gi|1786877|gb|AAC737
1	0.7173		gi|1786878|gb|AAC737
0	0.0317		gi|1786879|gb|AAC737
1	0.2601		gi|1786880|gb|AAC737
0	0.0122		gi|145693103|gb|AAC7
0	0.0358		gi|1786882|gb|AAC737
0	0.0634		gi|1786883|gb|AAC737
0	0.0119		gi|1786889|gb|AAC737
0	0.0		gi|1786890|gb|AAC737
0	0.0		gi|1786891|gb|AAC737
0	0.0239		gi|1786892|gb|AAC737
0	0.0119		gi|1786893|gb|AAC737
0	0.0238		gi|1786894|gb|AAC737
1	0.7851		gi|1786895|gb|AAC737
0	0.0		gi|1786897|gb|AAC737
0	0.012		gi|1786898|gb|AAC737
0	0.1083		gi|1786899|gb|AAC737
0	0.0		gi|157672246|gb|ABV5
1	0.6685		gi|1786900|gb|AAC737
0	0.0		gi|87081770|gb|AAC73
0	0.0		gi|1786902|gb|AAC737
0	0.0124		gi|1786903|gb|AAC737
0	0.0678		gi|1786904|gb|AAC737
0	0.0		gi|1786905|gb|AAC737
0	0.0		gi|1786908|gb|AAC737
0	0.0119		gi|1786909|gb|AAC737
0	0.0		gi|145693104|gb|ABP9
0	0.0119		gi|1786911|gb|AAC737
0	0.0		gi|1786912|gb|AAC737
0	0.0119		gi|1786913|gb|AAC737
0	0.0		gi|1786914|gb|AAC737
0	0.0119		gi|1786915|gb|AAC737
0	0.0		gi|87081773|gb|ABD18
0	0.0		gi|1786916|gb|AAC737
0	0.0		gi|1786917|gb|AAC737
0	0.0		gi|1786919|gb|AAC737
0	0.0		gi|1786922|gb|AAC737
0	0.0		gi|1786924|gb|AAC738
0	0.0119		gi|1786925|gb|AAC738
